batch_size	correct	epoch	grad_target_layer	grad_target_layer_alpha	loss	lr	n_samples
510.204	0.41358	1	0.0357913	98.446	1.58593	0.008	50000
510.204	0.58978	2	0.0693109	101.012	1.1317	0.008	50000
510.204	0.67024	3	0.0856115	98.581	0.931019	0.008	50000
510.204	0.71746	4	0.0816318	98.3647	0.807164	0.008	50000
510.204	0.74918	5	0.0751464	93.3025	0.721775	0.008	50000
510.204	0.7741	6	0.0785217	95.1385	0.653737	0.008	50000
510.204	0.79178	7	0.0784214	91.4815	0.60427	0.008	50000
510.204	0.80382	8	0.083845	94.619	0.566983	0.008	50000
510.204	0.81958	9	0.0748985	93.6618	0.52653	0.008	50000
510.204	0.82862	10	0.0735823	91.6625	0.498669	0.008	50000
510.204	0.83992	11	0.0799235	93.3306	0.468062	0.008	50000
510.204	0.84686	12	0.078668	95.3085	0.449048	0.008	50000
510.204	0.85434	13	0.0817795	92.1063	0.430569	0.008	50000
510.204	0.86028	14	0.0757793	91.281	0.411823	0.008	50000
510.204	0.86212	15	0.0809851	91.4493	0.403429	0.008	50000
510.204	0.86986	16	0.0829572	92.5406	0.382629	0.008	50000
510.204	0.87334	17	0.0755564	90.5498	0.375709	0.008	50000
510.204	0.87838	18	0.0791066	90.0399	0.35629	0.008	50000
510.204	0.87978	19	0.0836009	91.8277	0.35227	0.008	50000
510.204	0.88286	20	0.0788871	90.9558	0.341188	0.008	50000
510.204	0.88586	21	0.0783416	92.0036	0.33665	0.008	50000
510.204	0.88844	22	0.081022	90.0692	0.327992	0.008	50000
510.204	0.89094	23	0.083045	90.1086	0.318887	0.008	50000
510.204	0.89342	24	0.0846743	90.5987	0.312131	0.008	50000
510.204	0.8957	25	0.0812222	91.5763	0.305427	0.008	50000
510.204	0.89882	26	0.080879	91.3526	0.296266	0.008	50000
510.204	0.89762	27	0.0826763	88.2432	0.296424	0.008	50000
510.204	0.89872	28	0.080887	89.9092	0.293582	0.008	50000
510.204	0.9034	29	0.0828554	88.4653	0.28485	0.008	50000
510.204	0.90482	30	0.080533	91.5329	0.278965	0.008	50000
510.204	0.906	31	0.0845832	89.5868	0.27833	0.008	50000
510.204	0.90732	32	0.080136	89.588	0.273752	0.008	50000
510.204	0.90908	33	0.0830381	90.6384	0.268456	0.008	50000
510.204	0.90916	34	0.0824349	91.2149	0.264948	0.008	50000
510.204	0.91086	35	0.0780806	90.2135	0.260531	0.008	50000
510.204	0.91286	36	0.0819086	89.6893	0.255557	0.008	50000
510.204	0.91346	37	0.0810088	91.992	0.25722	0.008	50000
510.204	0.91278	38	0.0809793	89.4373	0.253488	0.008	50000
510.204	0.91268	39	0.084933	89.8396	0.255581	0.008	50000
510.204	0.91572	40	0.0855216	89.8446	0.250024	0.008	50000
510.204	0.91656	41	0.0833252	90.1092	0.24351	0.008	50000
510.204	0.91634	42	0.0828745	89.0196	0.246895	0.008	50000
510.204	0.91406	43	0.0840651	87.9536	0.247812	0.008	50000
510.204	0.91964	44	0.0821003	89.8175	0.238754	0.008	50000
510.204	0.92044	45	0.0803665	87.7181	0.237766	0.008	50000
510.204	0.91658	46	0.0834693	88.5774	0.245815	0.008	50000
510.204	0.91792	47	0.0795889	88.9455	0.239948	0.008	50000
510.204	0.92002	48	0.0801285	87.9937	0.234362	0.008	50000
510.204	0.92144	49	0.078848	89.4996	0.229397	0.008	50000
510.204	0.9204	50	0.0797033	88.6803	0.233683	0.008	50000
510.204	0.92144	51	0.0882067	90.6832	0.230092	0.008	50000
